Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-04T23:43:01,16678,479,522
Zhejiang,Mainland China,2020-02-04T13:03:07,829,0,62
Guangdong,Mainland China,2020-02-04T13:03:07,813,0,30
Henan,Mainland China,2020-02-04T11:53:02,675,2,27
Hunan,Mainland China,2020-02-04T14:03:03,593,0,31
Anhui,Mainland China,2020-02-04T05:33:01,480,0,20
Jiangxi,Mainland China,2020-02-04T14:43:02,476,0,20
Chongqing,Mainland China,2020-02-04T23:43:01,366,2,9
Jiangsu,Mainland China,2020-02-04T11:53:02,308,0,12
Sichuan,Mainland China,2020-02-04T01:43:02,282,1,14
Shandong,Mainland China,2020-02-04T12:03:04,275,0,11
Beijing,Mainland China,2020-02-04T08:33:01,228,1,23
Shanghai,Mainland China,2020-02-04T06:33:02,219,1,12
Fujian,Mainland China,2020-02-04T12:13:11,194,0,3
Heilongjiang,Mainland China,2020-02-04T07:43:01,155,2,4
Shaanxi,Mainland China,2020-02-04T12:33:02,142,0,2
Guangxi,Mainland China,2020-02-04T05:53:01,139,0,10
Hebei,Mainland China,2020-02-04T08:53:01,126,1,4
Yunnan,Mainland China,2020-02-04T23:23:02,122,0,5
Liaoning,Mainland China,2020-02-04T14:13:08,81,0,2
Shanxi,Mainland China,2020-02-04T23:23:02,81,0,4
Hainan,Mainland China,2020-02-04T11:33:03,80,1,5
Tianjin,Mainland China,2020-02-04T13:33:02,67,0,2
Guizhou,Mainland China,2020-02-04T10:43:02,58,0,2
Gansu,Mainland China,2020-02-04T15:43:02,57,0,4
Jilin,Mainland China,2020-02-04T00:23:05,42,0,1
Inner Mongolia,Mainland China,2020-02-04T03:03:07,35,0,1
Ningxia,Mainland China,2020-02-04T02:13:18,34,0,1
Xinjiang,Mainland China,2020-02-04T01:33:01,29,0,0
Hong Kong,Hong Kong,2020-02-04T09:03:02,17,1,0
Qinghai,Mainland China,2020-02-04T01:33:01,15,0,0
Taiwan,Taiwan,2020-02-04T14:53:02,11,0,0
Macau,Macau,2020-02-04T04:43:02,10,0,0
OtherProvince,China,2020-02-04T04:43:02,7039,12,321
,ForeignCountry,2020-02-04T15:33:03,175,1,9
