Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/29/20 19:30,3554,125,88
Zhejiang,Mainland China,1/29/20 19:30,296,,3
Guangdong,Mainland China,1/29/20 19:30,277,,5
Hunan,Mainland China,1/29/20 19:30,221,,
Henan,Mainland China,1/29/20 19:30,206,2,1
Anhui,Mainland China,1/29/20 19:30,152,,2
Chongqing,Mainland China,1/29/20 19:30,147,,1
Shandong,Mainland China,1/29/20 19:30,130,,1
Beijing,Mainland China,1/29/20 19:30,111,1,4
Jiangxi,Mainland China,1/29/20 19:30,109,,3
Sichuan,Mainland China,1/29/20 19:30,108,1,1
Jiangsu,Mainland China,1/29/20 19:30,99,,1
Shanghai,Mainland China,1/29/20 19:30,96,1,5
Fujian,Mainland China,1/29/20 19:30,84,,
Guangxi,Mainland China,1/29/20 19:30,58,,2
Shaanxi,Mainland China,1/29/20 19:30,56,,
Yunnan,Mainland China,1/29/20 19:30,55,,
Hebei,Mainland China,1/29/20 19:30,48,1,
Hainan,Mainland China,1/29/20 19:30,43,1,
Liaoning,Mainland China,1/29/20 19:30,39,,1
Heilongjiang,Mainland China,1/29/20 19:30,38,1,
Tianjin,Mainland China,1/29/20 19:30,27,,
Shanxi,Mainland China,1/29/20 19:30,27,,1
Gansu,Mainland China,1/29/20 19:30,24,,
Inner Mongolia,Mainland China,1/29/20 19:30,16,,
Xinjiang,Mainland China,1/29/20 19:30,13,,
Ningxia,Mainland China,1/29/20 19:30,12,,
Hong Kong,Hong Kong,1/29/20 19:30,10,,
Guizhou,Mainland China,1/29/20 19:30,9,,1
Jilin,Mainland China,1/29/20 19:30,9,,
Taiwan,Taiwan,1/29/20 19:30,8,,
Macau,Macau,1/29/20 19:30,7,,
Qinghai,Mainland China,1/29/20 19:30,6,,
OtherProvince,China,1/29/20 19:30,2541,8,32
,ForeignCountry,1/29/20 19:30,70,,6
